group1,group2,meandiff,p-adj,lower,upper,reject
Aquatic products,Beverages,-4.684,0.0,-5.0706,-4.2974,True
Aquatic products,Cereals,-4.0286,0.0,-4.2584,-3.7988,True
Aquatic products,Dairy,-3.8354,0.0,-4.1374,-3.5334,True
Aquatic products,Eggs,-1.6457,0.0,-2.0502,-1.2412,True
Aquatic products,Fast foods,-3.1278,0.0,-3.4284,-2.8272,True
Aquatic products,Fruit,-4.7936,0.0,-5.0873,-4.4999,True
Aquatic products,Legumes,-4.2814,0.0,-4.6146,-3.9483,True
Aquatic products,Liquor and alcohol,-4.3755,0.0,-4.7648,-3.9862,True
Aquatic products,Nuts and seeds,-4.0094,0.0,-4.4244,-3.5944,True
Aquatic products,Vegetables,-4.2824,0.0,-4.5284,-4.0364,True
Beverages,Cereals,0.6554,0.0,0.3153,0.9954,True
Beverages,Dairy,0.8485,0.0,0.456,1.2411,True
Beverages,Eggs,3.0382,0.0,2.5624,3.5141,True
Beverages,Fast foods,1.5562,0.0,1.1647,1.9476,True
Beverages,Fruit,-0.1096,0.998,-0.4958,0.2765,False
Beverages,Legumes,0.4026,0.0694,-0.0144,0.8195,False
Beverages,Liquor and alcohol,0.3085,0.5432,-0.1546,0.7715,False
Beverages,Nuts and seeds,0.6745,0.0004,0.1897,1.1594,True
Beverages,Vegetables,0.4016,0.0107,0.0504,0.7528,True
Cereals,Dairy,0.1932,0.2499,-0.0464,0.4328,False
Cereals,Eggs,2.3829,0.0,2.0226,2.7432,True
Cereals,Fast foods,0.9008,0.0,0.663,1.1387,True
Cereals,Fruit,-0.765,0.0,-0.994,-0.5359,True
Cereals,Legumes,-0.2528,0.1135,-0.5306,0.025,False
Cereals,Liquor and alcohol,-0.3469,0.045,-0.6901,-0.0037,True
Cereals,Nuts and seeds,0.0192,1.0,-0.3528,0.3912,False
Cereals,Vegetables,-0.2538,0.0,-0.4171,-0.0904,True
Dairy,Eggs,2.1897,0.0,1.7795,2.5998,True
Dairy,Fast foods,0.7076,0.0,0.3994,1.0158,True
Dairy,Fruit,-0.9582,0.0,-1.2596,-0.6567,True
Dairy,Legumes,-0.446,0.0012,-0.786,-0.106,True
Dairy,Liquor and alcohol,-0.5401,0.0006,-0.9353,-0.1449,True
Dairy,Nuts and seeds,-0.174,0.9629,-0.5945,0.2465,False
Dairy,Vegetables,-0.447,0.0,-0.7021,-0.1918,True
Eggs,Fast foods,-1.4821,0.0,-1.8912,-1.0729,True
Eggs,Fruit,-3.1479,0.0,-3.5519,-2.7438,True
Eggs,Legumes,-2.6357,0.0,-3.0692,-2.2021,True
Eggs,Liquor and alcohol,-2.7298,0.0,-3.2079,-2.2517,True
Eggs,Nuts and seeds,-2.3637,0.0,-2.8629,-1.8645,True
Eggs,Vegetables,-2.6367,0.0,-3.0075,-2.2659,True
Fast foods,Fruit,-1.6658,0.0,-1.9659,-1.3657,True
Fast foods,Legumes,-1.1536,0.0,-1.4924,-0.8149,True
Fast foods,Liquor and alcohol,-1.2477,0.0,-1.6418,-0.8536,True
Fast foods,Nuts and seeds,-0.8816,0.0,-1.3011,-0.4621,True
Fast foods,Vegetables,-1.1546,0.0,-1.4081,-0.9011,True
Fruit,Legumes,0.5122,0.0,0.1796,0.8448,True
Fruit,Liquor and alcohol,0.4181,0.0231,0.0292,0.807,True
Fruit,Nuts and seeds,0.7842,0.0,0.3696,1.1987,True
Fruit,Vegetables,0.5112,0.0,0.2659,0.7565,True
Legumes,Liquor and alcohol,-0.0941,0.9997,-0.5135,0.3254,False
Legumes,Nuts and seeds,0.272,0.6648,-0.1714,0.7154,False
Legumes,Vegetables,-0.001,1.0,-0.2923,0.2903,False
Liquor and alcohol,Nuts and seeds,0.3661,0.3524,-0.1209,0.8531,False
Liquor and alcohol,Vegetables,0.0931,0.999,-0.2611,0.4473,False
Nuts and seeds,Vegetables,-0.273,0.4328,-0.6552,0.1092,False
